TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/21/2025,20250221,0,888950,7.41,20,2
2/21/2025,20250221,3,888950,11.115,30,1
2/21/2025,20250221,4,888950,17.414,47,2
2/21/2025,20250221,5,888950,23.884,70.83,3
2/21/2025,20250221,6,888950,25.146,67.87,2
2/21/2025,20250221,7,888950,32.309,95.5,5
2/21/2025,20250221,8,888950,54.521,147.15,6
2/21/2025,20250221,9,888950,7.053,26.09,1
2/21/2025,20250221,10,888950,7.662,20.68,2
2/21/2025,20250221,11,888950,21.873,59.04,2
2/21/2025,20250221,12,888950,35.175,100.42,5
2/21/2025,20250221,13,888950,22.266,63.73,4
2/21/2025,20250221,14,888950,35.795,101.55,6
2/21/2025,20250221,15,888950,51.268,142.01,6
2/21/2025,20250221,16,888950,49.656,134.02,7
2/21/2025,20250221,17,888950,33.955,95.22,5
2/21/2025,20250221,18,888950,13.331,35.98,2
2/21/2025,20250221,19,888950,26.473,75.54,6
2/21/2025,20250221,20,888950,21.449,66,4
2/21/2025,20250221,21,888950,6.299,17,2
2/21/2025,20250221,23,888950,7.688,20.75,2
2/22/2025,20250222,0,888950,7.411,20,2
2/22/2025,20250222,1,888950,4.055,15,1
2/22/2025,20250222,2,888950,11.115,30,2
2/22/2025,20250222,3,888950,36.024,97.23,5
2/22/2025,20250222,7,888950,27.807,75.05,3
2/22/2025,20250222,8,888950,25.991,71.97,4
2/22/2025,20250222,9,888950,25.442,76.78,3
2/22/2025,20250222,10,888950,8.152,22,2
2/22/2025,20250222,11,888950,16.671,45,2
2/22/2025,20250222,12,888950,40.233,116.01,7
2/22/2025,20250222,13,888950,22.064,59.55,4
2/22/2025,20250222,14,888950,45.568,122.98,5
2/22/2025,20250222,15,888950,26.47,74.21,6
2/22/2025,20250222,16,888950,32.017,90.06,4
2/22/2025,20250222,17,888950,9.263,25,2
2/22/2025,20250222,18,888950,44.498,122.83,7
2/22/2025,20250222,19,888950,7.411,20,2
2/22/2025,20250222,21,888950,3.705,10,1
2/22/2025,20250222,22,888950,7.41,20,1
2/22/2025,20250222,23,888950,5.558,15,1
2/23/2025,20250223,0,888950,6.299,17,2
2/23/2025,20250223,1,888950,21.51,58.06,2
2/23/2025,20250223,2,888950,3.705,10,1
2/23/2025,20250223,4,888950,3.705,10,1
2/23/2025,20250223,7,888950,14.079,38,3
2/23/2025,20250223,8,888950,25.195,68,3
2/23/2025,20250223,9,888950,9.736,26.28,2
2/23/2025,20250223,10,888950,31.49,84.99,5
2/23/2025,20250223,11,888950,48.178,130.03,5
2/23/2025,20250223,12,888950,42.608,125,4
2/23/2025,20250223,13,888950,56.766,158.67,4
2/23/2025,20250223,14,888950,70.497,190.27,7
2/23/2025,20250223,15,888950,25.441,68.66,4
2/23/2025,20250223,16,888950,51.583,141.11,7
2/23/2025,20250223,17,888950,44.873,121.11,5
2/23/2025,20250223,18,888950,34.587,109.51,4
2/23/2025,20250223,19,888950,56.317,164.73,7
2/23/2025,20250223,20,888950,41.264,111.37,6
2/23/2025,20250223,21,888950,38.293,103.36,5
2/24/2025,20250224,2,888950,0.878,2.37,1
2/24/2025,20250224,4,888950,18.342,49.51,2
2/24/2025,20250224,5,888950,5.558,15,2
2/24/2025,20250224,6,888950,25.487,68.79,4
2/24/2025,20250224,7,888950,79.814,231.07,8
2/24/2025,20250224,8,888950,15.52,50,3
2/24/2025,20250224,9,888950,45.054,121.6,6
2/24/2025,20250224,10,888950,22.062,59.55,2
2/24/2025,20250224,11,888950,34.784,93.88,5
2/24/2025,20250224,12,888950,31.976,93.42,3
2/24/2025,20250224,13,888950,30.19,81.48,4
2/24/2025,20250224,14,888950,60.763,164,7
2/24/2025,20250224,15,888950,29.797,80.42,4
2/24/2025,20250224,16,888950,30.168,85.97,4
