TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/21/2025,20250221,1,907757,3.936,11.02,1
2/21/2025,20250221,8,907757,23.436,65.62,2
2/21/2025,20250221,9,907757,25.332,70.91,4
2/21/2025,20250221,10,907757,21.723,67.65,2
2/21/2025,20250221,11,907757,13.41,37.53,1
2/21/2025,20250221,14,907757,26.209,73.36,2
2/21/2025,20250221,15,907757,7.62,21.33,1
2/21/2025,20250221,18,907757,17.807,49.84,3
2/21/2025,20250221,19,907757,9.462,35,1
2/21/2025,20250221,23,907757,12.046,33.72,1
2/22/2025,20250222,8,907757,17.94,50.21,2
2/22/2025,20250222,9,907757,5.433,15.21,1
2/22/2025,20250222,12,907757,5.793,16.21,1
2/22/2025,20250222,13,907757,22.505,62.99,1
2/22/2025,20250222,14,907757,1.786,5,1
2/22/2025,20250222,18,907757,5.002,14,1
2/22/2025,20250222,19,907757,13.81,51.08,1
2/22/2025,20250222,23,907757,4.198,11.75,1
2/23/2025,20250223,6,907757,15.987,44.75,1
2/23/2025,20250223,15,907757,4.987,13.96,1
2/23/2025,20250223,19,907757,4.595,15.16,1
2/24/2025,20250224,4,907757,6.094,17.06,1
2/24/2025,20250224,8,907757,13.931,38.99,1
2/24/2025,20250224,9,907757,5.436,17.04,2
2/24/2025,20250224,10,907757,8.052,29.78,1
2/24/2025,20250224,13,907757,10.91,40.36,1
2/24/2025,20250224,15,907757,5.359,15,1
2/24/2025,20250224,16,907757,8.573,24,2
2/24/2025,20250224,17,907757,15.771,44.14,1
2/24/2025,20250224,18,907757,12.493,34.97,1
2/24/2025,20250224,19,907757,0.036,0.12,1
2/25/2025,20250225,7,907757,9.291,26.01,1
2/25/2025,20250225,9,907757,5.848,16.37,1
2/25/2025,20250225,10,907757,18.011,50.4,2
2/25/2025,20250225,13,907757,55.793,166.8,3
2/25/2025,20250225,15,907757,15.156,50,1
2/25/2025,20250225,16,907757,24.029,67.26,2
2/25/2025,20250225,18,907757,3.573,10,1
2/26/2025,20250226,9,907757,19,56.82,2
2/26/2025,20250226,10,907757,15.618,43.71,1
2/26/2025,20250226,11,907757,58.92,169.82,7
2/26/2025,20250226,12,907757,1.786,5,1
2/26/2025,20250226,15,907757,14.142,39.58,2
2/26/2025,20250226,16,907757,3.573,10,1
2/26/2025,20250226,17,907757,5.003,14,1
2/26/2025,20250226,18,907757,2.054,7.6,1
2/26/2025,20250226,21,907757,3.897,10.91,1
2/27/2025,20250227,7,907757,23.869,78.74,2
2/27/2025,20250227,9,907757,2.858,8,1
2/27/2025,20250227,10,907757,11.565,32.37,2
2/27/2025,20250227,13,907757,17.018,47.63,1
2/27/2025,20250227,15,907757,29.183,81.68,2
2/27/2025,20250227,17,907757,8.064,22.57,1
2/27/2025,20250227,18,907757,28.07,90.52,2
2/28/2025,20250228,5,907757,15.087,42.23,1
2/28/2025,20250228,8,907757,6.017,16.84,1
2/28/2025,20250228,10,907757,31.175,90.59,4
2/28/2025,20250228,11,907757,35.375,99.01,1
2/28/2025,20250228,13,907757,7.145,20,1
2/28/2025,20250228,14,907757,39.51,110.59,4
2/28/2025,20250228,16,907757,6.61,18.5,1
2/28/2025,20250228,17,907757,66.061,190.97,3
2/28/2025,20250228,19,907757,3.031,10,1
2/28/2025,20250228,20,907757,17.374,64.27,1
3/1/2025,20250301,5,907757,6.051,16.94,1
3/1/2025,20250301,8,907757,25.942,90.45,2
3/1/2025,20250301,9,907757,17.862,50,1
3/1/2025,20250301,11,907757,45.4,127.07,6
3/1/2025,20250301,13,907757,26.334,73.71,2
3/1/2025,20250301,14,907757,3.964,11.1,1
3/1/2025,20250301,16,907757,23.062,64.55,2
3/1/2025,20250301,18,907757,19.911,55.73,3
3/1/2025,20250301,19,907757,8.514,23.83,1
3/1/2025,20250301,22,907757,10.937,30.61,1
3/2/2025,20250302,2,907757,8.59,24.04,1
3/2/2025,20250302,11,907757,5.587,15.64,1
3/2/2025,20250302,16,907757,4.012,11.23,1
3/3/2025,20250303,8,907757,46.453,130.02,2
3/3/2025,20250303,9,907757,11.372,31.83,2
3/3/2025,20250303,11,907757,24.955,69.85,1
3/3/2025,20250303,13,907757,11.555,32.34,1
3/3/2025,20250303,14,907757,8.933,25,2
3/3/2025,20250303,15,907757,19.665,55.04,1
3/3/2025,20250303,16,907757,8.947,25.04,1
3/4/2025,20250304,9,907757,8.007,22.41,1
3/4/2025,20250304,10,907757,6.76,18.93,1
3/4/2025,20250304,14,907757,5.359,15,1
3/4/2025,20250304,15,907757,8.932,25,1
3/4/2025,20250304,16,907757,13.22,37,1
3/4/2025,20250304,18,907757,10.081,28.22,1
3/5/2025,20250305,2,907757,11.432,32,2
3/5/2025,20250305,8,907757,5.021,16.56,1
3/5/2025,20250305,9,907757,19.516,61.38,2
3/5/2025,20250305,11,907757,24.1,67.46,2
3/5/2025,20250305,12,907757,22.504,62.99,1
3/5/2025,20250305,13,907757,2.929,8.2,1
3/5/2025,20250305,14,907757,16.301,45.63,2
3/5/2025,20250305,15,907757,10.02,28.05,1
3/5/2025,20250305,16,907757,12.454,34.86,2
3/5/2025,20250305,17,907757,15.005,42,1
3/5/2025,20250305,18,907757,25.288,70.78,3
3/5/2025,20250305,22,907757,10.427,29.19,1
3/6/2025,20250306,7,907757,31.116,115.1,1
3/6/2025,20250306,9,907757,8.606,24.09,1
3/6/2025,20250306,10,907757,32.804,91.82,2
3/6/2025,20250306,11,907757,2.144,6,1
3/6/2025,20250306,12,907757,2.142,6,1
3/6/2025,20250306,13,907757,4.645,13,1
3/6/2025,20250306,14,907757,3.573,10,1
3/6/2025,20250306,15,907757,8.11,30,1
3/6/2025,20250306,17,907757,10.415,29.15,1
3/6/2025,20250306,18,907757,7.145,20,1
3/7/2025,20250307,5,907757,15.999,59.18,1
3/7/2025,20250307,9,907757,5.131,18.98,1
3/7/2025,20250307,10,907757,9.463,31.8,2
3/7/2025,20250307,11,907757,32.652,93.99,3
3/7/2025,20250307,12,907757,12.685,35.51,1
3/7/2025,20250307,13,907757,23.551,68.19,2
3/7/2025,20250307,14,907757,18.918,52.95,2
3/7/2025,20250307,15,907757,5.379,15.06,1
3/7/2025,20250307,16,907757,9.462,35,1
3/7/2025,20250307,18,907757,3.573,10,1
3/7/2025,20250307,20,907757,54.913,153.7,4
3/7/2025,20250307,21,907757,13.206,48.85,1
3/8/2025,20250308,7,907757,58.475,176.98,7
3/8/2025,20250308,8,907757,18.978,57.25,2
3/8/2025,20250308,9,907757,53.519,149.8,6
3/8/2025,20250308,10,907757,47.152,131.98,4
3/8/2025,20250308,11,907757,7.147,20,1
3/8/2025,20250308,12,907757,7.016,19.64,1
3/8/2025,20250308,13,907757,1.466,4.1,1
3/8/2025,20250308,14,907757,28.581,80,4
3/8/2025,20250308,16,907757,8.54,31.59,1
3/8/2025,20250308,18,907757,3.573,10,1
3/10/2025,20250310,10,907757,16.06,44.96,2
3/10/2025,20250310,11,907757,63.286,177.13,7
3/10/2025,20250310,12,907757,22.867,64.01,2
3/10/2025,20250310,17,907757,5.493,15.37,1
3/10/2025,20250310,19,907757,3.571,10,1
3/10/2025,20250310,20,907757,4.538,12.7,1
3/11/2025,20250311,6,907757,10.002,28,1
3/11/2025,20250311,9,907757,43.755,128.2,6
3/11/2025,20250311,10,907757,17.865,50,1
3/11/2025,20250311,11,907757,19.53,54.66,1
3/11/2025,20250311,12,907757,10.015,28.03,1
3/11/2025,20250311,15,907757,10.78,30.17,1
3/11/2025,20250311,17,907757,23.278,65.15,2
3/12/2025,20250312,8,907757,14.321,40.08,2
3/12/2025,20250312,10,907757,58.945,164.98,4
3/12/2025,20250312,11,907757,70.807,198.18,8
3/12/2025,20250312,12,907757,7.315,20.47,1
3/12/2025,20250312,14,907757,8.932,25,1
3/12/2025,20250312,16,907757,47.452,165.38,4
3/12/2025,20250312,17,907757,8.006,22.41,1
3/12/2025,20250312,18,907757,30.071,84.17,1
3/13/2025,20250313,8,907757,8.933,25,1
3/13/2025,20250313,9,907757,8.002,22.4,1
3/13/2025,20250313,10,907757,65.286,182.74,5
3/13/2025,20250313,11,907757,1.786,5,1
3/13/2025,20250313,12,907757,10.718,30,1
3/13/2025,20250313,13,907757,8.932,25,1
3/13/2025,20250313,14,907757,12.863,36,1
3/13/2025,20250313,15,907757,35.691,117.74,1
3/13/2025,20250313,17,907757,19.54,60,2
3/13/2025,20250313,20,907757,5.359,15,1
3/14/2025,20250314,2,907757,15.821,44.28,1
3/14/2025,20250314,9,907757,14.302,52.9,1
3/14/2025,20250314,10,907757,39.511,121.55,5
3/14/2025,20250314,11,907757,44.443,124.38,5
3/14/2025,20250314,12,907757,9.04,25.3,1
3/14/2025,20250314,13,907757,10.804,30.24,1
3/14/2025,20250314,14,907757,31.005,86.78,2
3/14/2025,20250314,15,907757,3.031,10,1
3/14/2025,20250314,18,907757,2.144,6,1
3/15/2025,20250315,8,907757,22.67,69.43,2
3/15/2025,20250315,9,907757,5.359,15,1
3/15/2025,20250315,10,907757,19.887,57.22,4
3/15/2025,20250315,11,907757,17.822,49.89,2
3/15/2025,20250315,13,907757,30.351,84.95,3
3/15/2025,20250315,14,907757,14.989,41.95,2
3/15/2025,20250315,17,907757,17.575,65.01,2
3/15/2025,20250315,21,907757,15.307,42.84,1
3/16/2025,20250316,10,907757,7.145,20,1
3/16/2025,20250316,13,907757,20.517,57.43,2
3/16/2025,20250316,15,907757,14.838,41.53,1
3/16/2025,20250316,16,907757,3.109,11.5,1
3/17/2025,20250317,7,907757,7.562,21.17,1
3/17/2025,20250317,10,907757,48.599,142.41,3
3/17/2025,20250317,11,907757,41.165,132.13,3
3/17/2025,20250317,12,907757,18.11,50.69,1
3/17/2025,20250317,15,907757,37.08,103.79,4
3/17/2025,20250317,16,907757,87.628,245.29,8
3/17/2025,20250317,17,907757,7.145,20,1
3/17/2025,20250317,21,907757,7.156,20.03,1
3/18/2025,20250318,9,907757,70.546,197.45,9
3/18/2025,20250318,10,907757,10.493,29.37,1
3/18/2025,20250318,11,907757,14.291,40,1
3/18/2025,20250318,12,907757,21.411,59.93,1
3/18/2025,20250318,13,907757,3.017,11.16,1
3/18/2025,20250318,16,907757,5.75,16.09,1
3/18/2025,20250318,17,907757,20.585,57.62,2
3/18/2025,20250318,20,907757,20.93,58.58,1
3/18/2025,20250318,22,907757,13.019,48.16,1
3/19/2025,20250319,8,907757,28.496,94.01,2
3/19/2025,20250319,9,907757,91.456,263.83,9
3/19/2025,20250319,10,907757,10.954,30.66,1
3/19/2025,20250319,11,907757,8.024,26.47,1
3/19/2025,20250319,12,907757,19.957,55.86,3
3/19/2025,20250319,13,907757,9.029,25.27,1
3/19/2025,20250319,17,907757,12.504,35,1
3/19/2025,20250319,18,907757,11.922,33.37,1
