TRANS_DATE,DATE,HOUR,SHIP_TO,VOLUME,TRANSACTION_AMT,TRANSACTION_COUNT
2/21/2025,20250221,0,899387,83.447,218.76,9
2/21/2025,20250221,1,899387,127.41,356.49,13
2/21/2025,20250221,2,899387,75.725,208.68,8
2/21/2025,20250221,3,899387,104.387,275.03,12
2/21/2025,20250221,4,899387,125.895,329.54,12
2/21/2025,20250221,5,899387,219.999,589.42,27
2/21/2025,20250221,6,899387,501.448,1393.08,41
2/21/2025,20250221,7,899387,1053.078,2875.45,84
2/21/2025,20250221,8,899387,713.395,1921.49,61
2/21/2025,20250221,9,899387,756.195,2004.26,66
2/21/2025,20250221,10,899387,614.729,1663.24,64
2/21/2025,20250221,11,899387,708.532,1917.97,70
2/21/2025,20250221,12,899387,966.55,2620.27,90
2/21/2025,20250221,13,899387,983.248,2748.05,87
2/21/2025,20250221,14,899387,811.738,2213.72,79
2/21/2025,20250221,15,899387,985.338,2748.95,92
2/21/2025,20250221,16,899387,917.597,2535.15,90
2/21/2025,20250221,17,899387,957.49,2680.17,95
2/21/2025,20250221,18,899387,948.12,2562.39,90
2/21/2025,20250221,19,899387,574.616,1594.66,53
2/21/2025,20250221,20,899387,356.341,983.99,43
2/21/2025,20250221,21,899387,457.739,1259.54,40
2/21/2025,20250221,22,899387,291.726,800.64,30
2/21/2025,20250221,23,899387,181.049,507.2,17
2/22/2025,20250222,0,899387,159.083,423.19,17
2/22/2025,20250222,1,899387,90.493,256.58,11
2/22/2025,20250222,2,899387,110.354,297.44,15
2/22/2025,20250222,3,899387,121.219,336.79,12
2/22/2025,20250222,4,899387,146.833,410.96,17
2/22/2025,20250222,5,899387,109.768,314.93,12
2/22/2025,20250222,6,899387,169.595,462.63,17
2/22/2025,20250222,7,899387,483.83,1310.8,41
2/22/2025,20250222,8,899387,498.444,1379.35,41
2/22/2025,20250222,9,899387,736.434,2087.18,66
2/22/2025,20250222,10,899387,868.604,2347.16,73
2/22/2025,20250222,11,899387,793.007,2172.98,79
2/22/2025,20250222,12,899387,903.552,2502.11,80
2/22/2025,20250222,13,899387,617.379,1665.56,59
2/22/2025,20250222,14,899387,829.048,2286.75,79
2/22/2025,20250222,15,899387,861.77,2416.45,81
2/22/2025,20250222,16,899387,672.928,1888.94,70
2/22/2025,20250222,17,899387,530.502,1478.05,59
2/22/2025,20250222,18,899387,645.972,1783.47,57
2/22/2025,20250222,19,899387,565.074,1534.32,57
2/22/2025,20250222,20,899387,382.717,1040.41,39
2/22/2025,20250222,21,899387,357.916,968.94,36
2/22/2025,20250222,22,899387,212.374,580.18,25
2/22/2025,20250222,23,899387,151.202,432.34,21
2/23/2025,20250223,0,899387,133.364,366.06,16
2/23/2025,20250223,1,899387,147.343,400.89,19
2/23/2025,20250223,2,899387,102.661,272.37,14
2/23/2025,20250223,3,899387,63.944,186.15,6
2/23/2025,20250223,4,899387,109.83,291.5,12
2/23/2025,20250223,5,899387,109.177,284.9,12
2/23/2025,20250223,6,899387,110.453,312.36,16
2/23/2025,20250223,7,899387,463.261,1365.3,27
2/23/2025,20250223,8,899387,196.569,531.71,22
2/23/2025,20250223,9,899387,487.316,1320.11,48
2/23/2025,20250223,10,899387,665.636,1819.93,59
2/23/2025,20250223,11,899387,836.581,2328.74,75
2/23/2025,20250223,12,899387,1068.675,2945.75,88
2/23/2025,20250223,13,899387,927.914,2548.85,88
2/23/2025,20250223,14,899387,701.852,1913.29,67
2/23/2025,20250223,15,899387,928.529,2572.35,87
2/23/2025,20250223,16,899387,659.178,1791.43,65
2/23/2025,20250223,17,899387,648.36,1791.87,63
2/23/2025,20250223,18,899387,889.912,2449.64,89
2/23/2025,20250223,19,899387,695.647,1913.74,70
2/23/2025,20250223,20,899387,534.193,1459.67,50
2/23/2025,20250223,21,899387,260.905,725,32
2/23/2025,20250223,22,899387,267.702,734.01,27
2/23/2025,20250223,23,899387,146.707,404.64,16
2/24/2025,20250224,0,899387,132.622,352.78,14
2/24/2025,20250224,1,899387,107.705,298.71,11
2/24/2025,20250224,2,899387,62.515,176.29,9
2/24/2025,20250224,3,899387,24.903,65.76,5
2/24/2025,20250224,4,899387,186.855,521.69,15
2/24/2025,20250224,5,899387,256.976,704.87,25
2/24/2025,20250224,6,899387,528.053,1450.44,43
2/24/2025,20250224,7,899387,741.673,2061.99,56
2/24/2025,20250224,8,899387,755.112,1991.53,67
2/24/2025,20250224,9,899387,451.163,1231.86,42
2/24/2025,20250224,10,899387,678.336,1857.65,57
2/24/2025,20250224,11,899387,1024.645,2859.63,82
2/24/2025,20250224,12,899387,1082.111,3003.61,94
2/24/2025,20250224,13,899387,1000.837,2798.73,91
2/24/2025,20250224,14,899387,824.442,2297.52,77
2/24/2025,20250224,15,899387,738.42,2063.86,72
2/24/2025,20250224,16,899387,1041.896,2801.08,87
2/24/2025,20250224,17,899387,1127.392,3091.69,92
2/24/2025,20250224,18,899387,882.51,2411.23,75
2/24/2025,20250224,19,899387,550.297,1490.62,55
2/24/2025,20250224,20,899387,473.001,1315.61,51
2/24/2025,20250224,21,899387,280.468,790.4,26
2/24/2025,20250224,22,899387,217.459,583.34,26
2/24/2025,20250224,23,899387,131.579,359.82,17
2/25/2025,20250225,0,899387,187.643,536.19,18
2/25/2025,20250225,1,899387,86.276,238.39,6
2/25/2025,20250225,2,899387,79.316,204.16,7
2/25/2025,20250225,3,899387,97.662,264.53,9
2/25/2025,20250225,4,899387,261.815,725.14,22
2/25/2025,20250225,5,899387,208.214,537.77,22
2/25/2025,20250225,6,899387,393.04,1026.11,40
2/25/2025,20250225,7,899387,567.086,1648.58,42
2/25/2025,20250225,8,899387,641.289,1769.65,63
2/25/2025,20250225,9,899387,630.469,1697.87,60
2/25/2025,20250225,10,899387,601.462,1639.84,54
2/25/2025,20250225,11,899387,983.264,2732.62,78
2/25/2025,20250225,12,899387,1099.979,3025.77,96
2/25/2025,20250225,13,899387,768.031,2073.34,72
2/25/2025,20250225,14,899387,846.931,2336.88,78
2/25/2025,20250225,15,899387,887.102,2420.32,80
2/25/2025,20250225,16,899387,871.489,2340.02,85
2/25/2025,20250225,17,899387,989.271,2726.88,79
2/25/2025,20250225,18,899387,663.548,1787.36,63
2/25/2025,20250225,19,899387,677.378,1817.08,72
2/25/2025,20250225,20,899387,416.163,1137.79,45
2/25/2025,20250225,21,899387,344.271,931.92,36
2/25/2025,20250225,22,899387,271.955,731.15,32
2/25/2025,20250225,23,899387,190.563,526.25,22
2/26/2025,20250226,0,899387,115.696,327.97,14
2/26/2025,20250226,1,899387,105.157,299.73,9
2/26/2025,20250226,2,899387,68.074,182.89,8
2/26/2025,20250226,3,899387,93.319,249.42,13
2/26/2025,20250226,4,899387,126.98,328.42,13
2/26/2025,20250226,5,899387,415.589,1146.03,34
2/26/2025,20250226,6,899387,467.25,1255.03,44
2/26/2025,20250226,7,899387,789.311,2221.63,66
2/26/2025,20250226,8,899387,679.289,1823.92,66
2/26/2025,20250226,9,899387,575.017,1526.61,51
2/26/2025,20250226,10,899387,593.685,1541.97,61
2/26/2025,20250226,11,899387,1027.925,2739.78,83
2/26/2025,20250226,12,899387,886.971,2335.66,73
2/26/2025,20250226,13,899387,786.212,2045.48,75
2/26/2025,20250226,14,899387,812.812,2180.37,71
2/26/2025,20250226,15,899387,973.262,2544.81,88
2/26/2025,20250226,16,899387,1128.562,3002.4,95
